Severity	Code	Description	Project	File	Line	Suppression State	Details
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'InputBoxYesNo' and no accessible extension method 'InputBoxYesNo' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\DataSourceDefaultMethods.cs	39		
Error (active)	CS1061	'EntityField' does not contain a definition for 'IsPrimaryKey' and no accessible extension method 'IsPrimaryKey' accepting a first argument of type 'EntityField' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\DataViews\DataViewEntitiesNode.cs	236		
Error (active)	CS1061	'EntityField' does not contain a definition for 'IsForeignKey' and no accessible extension method 'IsForeignKey' accepting a first argument of type 'EntityField' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\DataViews\DataViewEntitiesNode.cs	236		
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'InputBoxYesNo' and no accessible extension method 'InputBoxYesNo' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\DataViews\DataViewEntitiesNode.cs	269		
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'InputBoxYesNo' and no accessible extension method 'InputBoxYesNo' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\DataViews\DataViewEntitiesNode.cs	435		
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'MsgBox' and no accessible extension method 'MsgBox' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\DataViews\DataViewEntitiesNode.cs	469		
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'InputBoxYesNo' and no accessible extension method 'InputBoxYesNo' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\DataViews\DataViewEntitiesNode.cs	486		
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'MsgBox' and no accessible extension method 'MsgBox' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\DataViews\DataViewEntitiesNode.cs	603		
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'MsgBox' and no accessible extension method 'MsgBox' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\DataViews\DataViewEntitiesNode.cs	609		
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'InputBox' and no accessible extension method 'InputBox' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\DataViews\DataViewEntitiesNode.cs	680		
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'MsgBox' and no accessible extension method 'MsgBox' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\DataViews\DataViewEntitiesNode.cs	702		
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'InputBox' and no accessible extension method 'InputBox' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\DataViews\DataViewEntitiesNode.cs	719		
Error (active)	CS1061	'ITreeBranchHandler' does not contain a definition for 'UpdateBranch' and no accessible extension method 'UpdateBranch' accepting a first argument of type 'ITreeBranchHandler' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\DataViews\DataViewEntitiesNode.cs	727		
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'InputBox' and no accessible extension method 'InputBox' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\DataViews\DataViewEntityNode.cs	136		
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'MsgBox' and no accessible extension method 'MsgBox' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\DataViews\DataViewEntityNode.cs	163		
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'InputBoxYesNo' and no accessible extension method 'InputBoxYesNo' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\DataViews\DataViewJoinsNode.cs	188		
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'MsgBox' and no accessible extension method 'MsgBox' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\DataViews\DataViewJoinsNode.cs	211		
